phase,scientific_purpose,evaluated_concept,primary_metric,statistical_support,core_scientific_takeaway
Phase 2,Signal Representation Learning,1D Temporal CNN vs 2D CWT vs Recurrence Plots vs Late Fusion,AUROC = 0.6593,1D temporal representation significantly outperformed 2D transforms,Preserved raw temporal CTG signal structure without lossy 2D time-frequency projections
Phase 3,Temporal Instance Aggregation,"Attention MIL vs Fixed Pooling (Mean, Max, P90, P95)",AUROC = 0.6701 (P90),Fixed extreme-value pooling (P90) outperformed learned attention MIL,"Under limited patient sample size (N=547), robust extreme-value aggregation prevents attention overfitting"
Phase 4,Knowledge-Guided Clinical Fusion,Learned Signal Embedding + 19 FIGO Clinical Descriptors,AUROC = 0.7361,"Statistically significant gain over learned signal alone (+0.0446, p<0.01)","Expert physiological descriptors provide orthogonal, complementary clinical information"
Phase 5,Temporal Context Window Length,Context window scaling (20 min vs 30 min vs 45 min vs 60 min),AUROC = 0.7361 (20 min),Longer retrospective context did not improve discrimination,20-minute causal observation window captures the fundamental cycle of uterine contractions and decelerations
Phase 6,Continuous Acid-Base Supervision,Continuous Clinical Huber Regression (pH) vs Binary Cross-Entropy vs Ordinal Loss,"AUROC = 0.7426 [95% CI: 0.6876, 0.7931]",Huber continuous supervision achieved highest numerical point estimate,Supervising continuous physiological pH preserves rank order of severity without arbitrary binarization
Phase 7 / 7.1,Methodological Audit & Reconciliation,Audit of potential feature leakage and representation drift,Locked Huber Baseline: 0.7426,Invalidated earlier unverified +0.0881 gain; established frozen representation lock,Enforced strict causal invariants and eliminated optimistic representation drift
Phase 8,Causal Rolling 20-Min Inference & Early Warning,Continuous sliding window (stride 2.5 min) from >=60m to delivery,AUROC >=30m: 0.5699; Delivery: 0.6941,Zero future look-ahead verified under synthetic perturbation test,Identified acute temporal boundary: predictive information concentrates in final 15-25 min of labor
Phase 9A-9C,Physiological State & Trajectory Dynamics,5-State Deterioration Model + Velocity + Persistence + Reversals,Monotonic Risk Gradient (State 0: 6.8% -> State 4: 43.8%),Monotonic state risk gradient verified under clustered patient bootstrap,State trajectory represents clinically interpretable intrapartum deterioration path
Phase 10,Final Integrated Framework Definition,"Candidate architectures A, B, C, D, E under 5-fold CV",Model E (Full Multidomain): 0.6872; Model D (Traj): 0.6142; Model A: 0.5976,"Statistically significant gain of Model E over Model A (+0.0896, p<0.001)",Consolidated final architecture: Snapshot + State + Trajectory + Multidomain Fusion
Phase 11,Prior-Art Head-to-Head Comparative Benchmark,P1 (Compact) vs P2 (Sequential) vs P3 (Snapshot) vs P4 vs P5 vs P6 (Full System),"P6 AUROC: 0.6872 vs P1: 0.5090 (p<0.001), P3: 0.5976 (p<0.001), P2: 0.6774 (p=0.697)",P6 significantly beats P1 and P3 near delivery; statistically comparable to P2,Demonstrated bounded empirical superiority near delivery; disproved universal superiority over sequential prior art
Phase 11.5,Advantage Attribution & Scientific Betterment,"Decomposition across horizons, LOCO trajectory ablation, 8-step ladder, discordance","Multidomain severity fusion accounts for ~78% (+0.0676, p<0.001) of total framework gain","Trajectory adds significant value (+0.0165, p=0.041); Multidomain fusion is major driver",Scientific explanation: Multidomain physiological coupling drives accuracy; trajectory stabilizes temporal dynamics
