phase,experiment,endpoint,horizon,evaluation_unit,auroc,ci_95,auprc,source_artifact,status,core_takeaway
Phase 2,Exp2.1_Raw_FHR_1D,pH <= 7.15,Delivery (Static Retrospective),Patient-Level (N=547),0.6593,"[0.6011, 0.7180]",0.3377,results/phase2_representation/phase2_results.json,AUTHORITATIVE (Replaces accidental 0.6842 transcription),"1D temporal representation significantly outperformed 2D transforms (CWT: 0.5672, RP: 0.5566)"
Phase 3,Fixed_P90_Pooling,pH <= 7.15,Delivery (Static Retrospective),Patient-Level (N=547),0.6701,"[0.6111, 0.7259]",0.3399,results/phase3_mil/phase3_results.json,AUTHORITATIVE (Replaces accidental 0.6915 transcription),Fixed extreme-value pooling (P90) outperformed learned Attention MIL (0.5337)
Phase 4,Logit_Prior_Modulation,pH <= 7.15,Delivery (Static Retrospective),Patient-Level (N=547),0.7361,"[0.6793, 0.7878]",0.4514,results/phase4_fusion/phase4_results.json,AUTHORITATIVE,"19 FIGO descriptors add statistically significant signal (+0.0660 over Signal P90 alone, p<0.01)"
Phase 5,20min_Temporal_Context_Lock,pH <= 7.15,Delivery (Static Retrospective),Patient-Level (N=547),0.7361,"[0.6793, 0.7878]",0.4514,results/phase5_multires/phase5_results.json,AUTHORITATIVE,Expanding context window beyond 20 min did not improve discrimination
Phase 6,Continuous_Clinical_Huber,pH <= 7.15,Delivery (Static Retrospective),Patient-Level (N=547),0.7426,"[0.6876, 0.7931]",0.4773,results/phase6_outcome_supervision/phase6_results.json,AUTHORITATIVE,"Continuous Huber regression achieves highest static point estimate (Delta=+0.0065 vs Ph 4, p=0.320, ns)"
Phase 7 / 7.1,Methodological_Audit_Lock,pH <= 7.15,Delivery (Static Retrospective),Patient-Level (N=547),0.7426,"[0.6876, 0.7931]",0.4773,results/phase7_reconciliation/reconciliation_summary.json,AUTHORITATIVE (Discarded erroneous +0.0881 claim permanently removed),Enforced strict causal audit lock and eliminated optimistic representation drift
Phase 8,Rolling_Causal_20min_Huber,pH <= 7.15,>=30 min / Delivery,Patient-Level (N=547),0.5699,"[0.5120, 0.6280]",0.285,results/phase8_rolling/rolling_predictions.csv,AUTHORITATIVE,Predictive signal concentrates in final 15-25 min; >=30m early warning AUROC is 0.5699
Phase 9C,Physiological_State_Trajectory,pH <= 7.15,Delivery (Causal Rolling),Patient-Level (N=547),0.6142,"[0.5530, 0.6750]",0.312,results/phase9c_state_trajectory/state_trajectory_predictions.csv,AUTHORITATIVE,5-state transition model exhibits monotonic risk gradient (State 0: 6.8% -> State 4: 43.8%)
Phase 10,Integrated_System_Candidate_E,pH <= 7.15,Delivery (Causal Rolling),Patient-Level (N=547),0.6872,"[0.6280, 0.7450]",0.3742,results/phase10_final/final_predictions.csv,AUTHORITATIVE,Consolidated hierarchical architecture: Snapshot + State + Trajectory + Multidomain Fusion
Phase 11 (P1),Compact_CTG_Baseline (DeepCTG),pH <= 7.15,>=30 min / Delivery,Patient-Level (N=547),0.509,"[0.4480, 0.5700]",0.215,results/phase11_priorart_benchmark/model_predictions.csv,"AUTHORITATIVE (P6 significantly superior: Delta=+0.1801, p<0.001)",Compact 4-feature representation collapses near delivery
Phase 11 (P2),Sequential_Event_Baseline (Vargas-Calixto),pH <= 7.15,>=30 min / Delivery,Patient-Level (N=547),0.6774,"[0.6180, 0.7360]",0.358,results/phase11_priorart_benchmark/model_predictions.csv,"AUTHORITATIVE (Statistically comparable to P6: p=0.697 at delivery, p=0.485 at >=30m)",P2 leads at >=30m (0.5983 vs 0.5857); P6 leads at delivery (0.6872 vs 0.6774)
Phase 11 (P3),Locked_Snapshot_Huber_Baseline,pH <= 7.15,>=30 min / Delivery,Patient-Level (N=547),0.5976,"[0.5370, 0.6580]",0.301,results/phase11_priorart_benchmark/model_predictions.csv,"AUTHORITATIVE (P6 significantly superior: Delta=+0.0896, p<0.001)",Static snapshot risk lacks temporal deterioration context
Phase 11 (P5),Snapshot_plus_Trajectory,pH <= 7.15,>=30 min / Delivery,Patient-Level (N=547),0.6142,"[0.5530, 0.6750]",0.312,results/phase11_priorart_benchmark/model_predictions.csv,"AUTHORITATIVE (P5 significantly superior to P3: Delta=+0.0165, p=0.041)",Temporal trajectory adds statistically significant incremental discrimination over snapshot risk
Phase 11 (P6),Full_Physiology_Guided_System,pH <= 7.15,>=30 min / Delivery,Patient-Level (N=547),0.6872,"[0.6280, 0.7450]",0.3742,results/phase11_priorart_benchmark/model_predictions.csv,AUTHORITATIVE (Highest Delivery AUROC; Longest Warning Lead Time: 17.5 min),Full Multidomain Proposed System
Phase 11.5,Multidomain_Ladder_Attribution,pH <= 7.15,Delivery (Causal Rolling),Patient-Level (N=547),0.6818,"[0.6220, 0.7400]",0.369,results/phase11_5_advantage_attribution/full_framework_decomposition.csv,"AUTHORITATIVE (Step 6 Jump: +0.0676, p<0.001 accounts for ~78% of framework gain)",Multidomain severity fusion is the principal performance driver under pre-specified ladder
